Sensor,Set,Round,Constante_Calibracion_K,Error_K,N_Paths,Status
49109,16.0,1,0.433665151699246,0.00029798797784113087,3,Calculado
49110,16.0,1,0.3883648685853405,0.0002857310913424258,3,Calculado
49111,16.0,1,-0.025856980674251902,0.0002780034736888481,3,Calculado
49112,16.0,1,0.4959298984607213,0.00023830958030462865,3,Calculado
49113,17.0,1,0.36061845791678493,0.0002460842755814713,4,Calculado
49114,17.0,1,0.47913773903725276,0.0002663483027465465,4,Calculado
49115,17.0,1,0.3726462036368402,0.00027455586519902235,4,Calculado
49116,17.0,1,0.4307481048094479,0.000289195764866547,4,Calculado
49117,17.0,1,,,0,Descartado
49118,17.0,1,0.40902134506505045,0.00029838739528188275,4,Calculado
49119,17.0,1,0.4368486824951971,0.00021855553918176472,4,Calculado
49120,17.0,1,0.41164121962642836,0.00029403988547270916,4,Calculado
49121,17.0,1,0.33809528474969597,0.00028171093383148085,4,Calculado
49122,17.0,1,-0.05356984851259588,0.00027956864419541495,4,Calculado
49123,17.0,1,-0.042270546192000755,0.00021693429977204297,4,Calculado
49124,17.0,1,,,0,Descartado
49125,18.0,1,0.40088258994021964,0.0002122814993176571,4,Calculado
49126,18.0,1,0.4471795879168007,0.00020441170369197916,4,Calculado
49127,18.0,1,0.4399218147555672,0.0002457719835466381,4,Calculado
49128,18.0,1,0.3976690327931597,0.0002524755153370583,4,Calculado
49129,18.0,1,-0.06670599464916716,0.00026809504141498536,4,Calculado
49130,18.0,1,-0.07158321053290632,0.00025923576346659725,4,Calculado
49131,18.0,1,-0.0451332444607549,0.00021019332034851923,4,Calculado
49132,18.0,1,-0.023971241791875084,0.00024986417359531714,4,Calculado
49133,18.0,1,0.028725387167123768,0.00026106009692791423,4,Calculado
49134,18.0,1,0.43418414492571267,0.0003035959528208532,4,Calculado
49135,18.0,1,0.4985172398700162,0.0002675494589080248,4,Calculado
49166,18.0,1,,,0,Descartado
49167,19.0,1,0.02113851641769734,0.00024284699489762892,3,Calculado
49168,19.0,1,-0.0454053865087015,0.00025712628221629763,3,Calculado
49169,19.0,1,,,0,Descartado
49170,19.0,1,0.03543473828500113,0.0002599343931167783,3,Calculado
49171,19.0,1,-0.08474758275506708,0.0002616059744762868,3,Calculado
49172,19.0,1,-0.02030981178582148,0.00026987165160330276,3,Calculado
49173,19.0,1,-0.043562660032062384,0.0002700405695205872,3,Calculado
49174,19.0,1,-0.038305580966046776,0.0002696425963855474,3,Calculado
49175,19.0,1,-0.04628459008030708,0.0002663150588249642,3,Calculado
49176,19.0,1,-0.0016930757052367143,0.00023845847196603438,3,Calculado
49177,19.0,1,-0.013371645111326862,0.0002625925537218066,3,Calculado
49178,19.0,1,-0.05648343160800009,0.00026139259489617333,3,Calculado
49179,20.0,1,-0.011521499922236366,0.00021595208229001334,4,Calculado
49180,20.0,1,-0.06274854146875392,0.00022804672885504604,4,Calculado
49181,20.0,1,-0.03415628215163252,0.000213811422051818,4,Calculado
49182,20.0,1,-0.028620789796452453,0.00023402616401580988,4,Calculado
49183,20.0,1,-0.029751178917402598,0.00023566642925235083,4,Calculado
49184,20.0,1,-0.04621431061506112,0.00023510606879093072,4,Calculado
49185,20.0,1,-0.03540813259234864,0.0002354486484015523,4,Calculado
49186,20.0,1,0.007674552085856829,0.0002109999749417303,4,Calculado
49187,20.0,1,-0.01781055829522252,0.00023749557939609642,4,Calculado
