Sensor,Set,Constante_Calibracion_K_old,Error_K_old,N_Paths_old,Constante_Calibracion_K_new,Error_K_new,N_Paths_new,Diff_K,Diff_mK,Abs_Diff_mK,Error_old_mK,Error_new_mK,Error_improvement_%
48880,11.0,0.4349018340348615,0.0336683984601106,4,0.4626274617648531,0.0002131078341348,4,0.027725627729991598,27.725627729991597,27.725627729991597,33.668398460110595,0.2131078341348,99.36703899240327
48885,11.0,0.3678404938257362,0.0336601987336284,4,0.3955587352892544,0.0002212927574574,4,0.0277182414635182,27.7182414635182,27.7182414635182,33.660198733628405,0.22129275745739999,99.34256847617387
48878,11.0,0.4137034712941272,0.0336568317206118,4,0.4413335949138344,0.0002092004391548,4,0.02763012361970718,27.63012361970718,27.63012361970718,33.6568317206118,0.2092004391548,99.37843097980407
48881,11.0,-0.076515631295123,0.0336626117633993,4,-0.048982057641664,0.0002174403616851,4,0.027533573653458994,27.533573653458994,27.533573653458994,33.6626117633993,0.2174403616851,99.3540597407789
48886,11.0,0.4801240459426739,0.0336503572303162,4,0.507606658139375,0.0002187694147498,4,0.027482612196701117,27.48261219670112,27.48261219670112,33.6503572303162,0.2187694147498,99.34987491142381
48882,11.0,0.3987882579096474,0.0336928798243124,4,0.4261142679590088,0.00022081522843,4,0.027326010049361416,27.326010049361415,27.326010049361415,33.6928798243124,0.22081522843,99.34462346471594
48883,11.0,0.4847634939157393,0.0336717036814263,4,0.5118779144176149,0.0002188957394191,4,0.02711442050187557,27.114420501875568,27.114420501875568,33.6717036814263,0.21889573941909998,99.34991189786501
48867,10.0,0.0230925695356902,0.0023527916962991,4,0.0498752296803082,0.000250599723565,3,0.026782660144617998,26.782660144618,26.782660144618,2.3527916962991,0.25059972356500004,89.34883508985563
48864,10.0,-0.0273603882476557,0.0031651625245913,4,-0.0009118813939313,0.0002207971860591,3,0.0264485068537244,26.4485068537244,26.4485068537244,3.1651625245913,0.22079718605909998,93.02414380482372
48874,10.0,-0.0780643822247156,0.0025382615121012,4,-0.0516485679582987,0.0002512613578233,3,0.026415814266416898,26.4158142664169,26.4158142664169,2.5382615121012,0.2512613578233,90.10104527743073
48868,10.0,-0.0513722120176592,0.0023725357930251,4,-0.0250554685844286,0.0002507254847971,3,0.0263167434332306,26.316743433230602,26.316743433230602,2.3725357930251,0.2507254847971,89.43217271856571
48873,10.0,0.4388789879726137,0.0023539426503249,4,0.4651547899414117,0.0002531461460184,3,0.026275801968797974,26.275801968797975,26.275801968797975,2.3539426503249,0.2531461460184,89.24586603741345
48866,10.0,0.4072688379432467,0.0041569081794382,4,0.4335421066757761,0.000247640581847,3,0.026273268732529387,26.273268732529388,26.273268732529388,4.156908179438201,0.24764058184699997,94.04267375757941
48870,10.0,0.4571841586918618,0.0027964906470413,4,0.48328526660689,0.0002546927581583,3,0.026101107915028177,26.101107915028177,26.101107915028177,2.7964906470413,0.2546927581583,90.89241516227612
48865,10.0,-0.0881867121761776,0.0025200076220578,4,-0.0621701960944316,0.0002369754802226,3,0.026016516081746002,26.016516081746,26.016516081746,2.5200076220578,0.23697548022259998,90.5962395451372
48871,10.0,0.4403595771647756,0.0023653382812727,4,0.4659530110875937,0.0002508139100071,3,0.0255934339228181,25.5934339228181,25.5934339228181,2.3653382812726997,0.2508139100071,89.39627739537761
48872,10.0,0.4012350832094611,0.0028844057512107,4,0.4259567638528144,0.0002563208276831,3,0.024721680643353283,24.721680643353285,24.721680643353285,2.8844057512107,0.2563208276831,91.11356550389931
55263,29.0,0.4972120066003879,0.0160916774777411,4,0.4753387446153349,0.0003222183985707,2,-0.021873261985053016,-21.873261985053016,21.873261985053016,16.091677477741097,0.32221839857069995,97.99760839715803
48887,11.0,0.3637113291012087,0.0337005873514649,4,0.3852616339804487,0.0003076042761224,2,0.021550304879240034,21.550304879240034,21.550304879240034,33.700587351464904,0.3076042761224,99.08724357556626
48524,15.0,-0.1046848483477998,0.0390419210424572,4,-0.0848066823769986,0.0002172745816634,4,0.019878165970801207,19.878165970801206,19.878165970801206,39.0419210424572,0.2172745816634,99.44348388639196
48522,15.0,0.0044145317610857,0.0390476676445396,4,0.0242781016535649,0.0002184480215143,4,0.0198635698924792,19.863569892479198,19.863569892479198,39.0476676445396,0.21844802151429998,99.4405606411556
48523,15.0,-0.0331480038932394,0.0390442737910903,4,-0.01340295597422,0.0002143602388361,4,0.019745047919019404,19.745047919019402,19.745047919019402,39.044273791090305,0.21436023883609998,99.45098162157387
48518,15.0,-0.1176341742459005,0.0390474565146461,4,-0.097932033058451,0.0002162502793271,4,0.019702141187449507,19.702141187449506,19.702141187449506,39.0474565146461,0.2162502793271,99.44618600382849
55177,29.0,0.4518467572457817,0.0160733813166271,4,0.4321892421474607,0.0002423470948496,4,-0.019657515098321032,-19.65751509832103,19.65751509832103,16.0733813166271,0.24234709484960001,98.49224571933159
