Sensor,Set,Round,Path_Number,Paso1_From,Paso1_To,Paso1_Set,Paso1_Offset_K,Paso1_Error_K,Paso2_From,Paso2_To,Paso2_Set,Paso2_Offset_K,Paso2_Error_K,Paso3_From,Paso3_To,Paso3_Set,Paso3_Offset_K,Paso3_Error_K,Total_Offset_K,Total_Error_K
55192,29.0,1,2,55192,55264,29.0,0.05316978079241648,0.00020090561233563278,55264,55227,53.0,0.023489397309994622,0.0003106827282611556,55227,48484,57.0,0.39057339301351796,0.00017148462786149745,0.4672325711159291,0.0004077913685949555
55192,29.0,1,3,55192,55263,29.0,-0.006823541347755938,0.0002974767485088159,55263,55253,53.0,-0.10873452323109534,0.000424981068768744,55253,48484,57.0,0.590630170929935,0.00017637834543702863,0.4750721063510837,0.0005479148158740599
55192,29.0,1,4,55192,55263,29.0,-0.006823541347755938,0.0002974767485088159,55263,55227,53.0,0.08814358558853798,0.00031475215671300196,55227,48484,57.0,0.39057339301351796,0.00017148462786149745,0.4718934372543,0.0004657985762662438
55194,31.0,1,0,55194,PROMEDIO,31.0,,,PROMEDIO,PROMEDIO,,,,PROMEDIO,48484,57.0,,,0.43640234667394506,0.00024239446982085634
55194,31.0,1,1,55194,55186,31.0,-0.28467787121084315,0.00026713908813865697,55186,55253,53.0,0.13143074227619406,0.00047895126161935414,55253,48484,57.0,0.590630170929935,0.00017637834543702863,0.4373830419952859,0.000576078921813173
55194,31.0,1,2,55194,55186,31.0,-0.28467787121084315,0.00026713908813865697,55186,55227,53.0,0.3283088510958274,0.0003845182991099815,55227,48484,57.0,0.39057339301351796,0.00017148462786149745,0.4342043728985022,0.000498622695386785
55194,31.0,1,3,55194,55194,31.0,0.0,0.0,55194,55253,53.0,-0.15173193709310331,0.00046811087437360606,55253,48484,57.0,0.590630170929935,0.00017637834543702863,0.4388982338368317,0.0005002370552507338
55194,31.0,1,4,55194,55194,31.0,0.0,0.0,55194,55227,53.0,0.04514617172653,0.0003709282977213846,55227,48484,57.0,0.39057339301351796,0.00017148462786149745,0.43571956474004797,0.00040864994756304617
55200,28.0,1,0,55200,PROMEDIO,28.0,,,PROMEDIO,PROMEDIO,,,,PROMEDIO,48484,57.0,,,0.4026351993848598,0.00022286695280682636
55200,28.0,1,1,55200,55208,28.0,-0.06409443751786761,0.000268909549583977,55208,55253,53.0,-0.12100161975808586,0.0003466540882071683,55253,48484,57.0,0.590630170929935,0.00017637834543702863,0.4055341136539815,0.0004728538077115425
55200,28.0,1,2,55200,55208,28.0,-0.06409443751786761,0.000268909549583977,55208,55227,53.0,0.07587648906154745,0.00019654278977974588,55227,48484,57.0,0.39057339301351796,0.00017148462786149745,0.4023554445571978,0.0003746310073454399
55200,28.0,1,3,55200,55215,28.0,-0.013115586616851993,0.0002991956355992708,55215,55253,53.0,-0.17430159165469097,0.0004030941079320694,55253,48484,57.0,0.590630170929935,0.00017637834543702863,0.403212992658392,0.0005320828966902678
55200,28.0,1,4,55200,55215,28.0,-0.013115586616851993,0.0002991956355992708,55215,55227,53.0,0.022576517164942335,0.0002845081214890236,55227,48484,57.0,0.39057339301351796,0.00017148462786149745,0.4000343235616083,0.0004470680900575
55201,28.0,1,0,55201,PROMEDIO,28.0,,,PROMEDIO,PROMEDIO,,,,PROMEDIO,48484,57.0,,,0.4487617461308486,0.00022906917366273096
55201,28.0,1,1,55201,55208,28.0,-0.017974924808816385,0.0002878231113970148,55208,55253,53.0,-0.12100161975808586,0.0003466540882071683,55253,48484,57.0,0.590630170929935,0.00017637834543702863,0.45165362636303275,0.0004838600221800778
55201,28.0,1,2,55201,55208,28.0,-0.017974924808816385,0.0002878231113970148,55208,55227,53.0,0.07587648906154745,0.00019654278977974588,55227,48484,57.0,0.39057339301351796,0.00017148462786149745,0.44847495726624903,0.00038843041752862256
